epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,20585.3,1.19381,0.81973,0.89879,0.55014,0.43449,0.45149,0.27859,1.14937,0.80786,0.88281,0.000736625,0.000736625,0.000736625
71,20879,1.19899,0.82318,0.89752,0.55355,0.43655,0.4522,0.27873,1.15099,0.8082,0.88269,0.000729725,0.000729725,0.000729725
72,21172.5,1.18183,0.81554,0.89522,0.54818,0.43077,0.44946,0.27836,1.14618,0.80906,0.88189,0.00072277,0.00072277,0.00072277
73,21466.1,1.19335,0.81645,0.89584,0.55032,0.43468,0.45301,0.27908,1.14996,0.80772,0.88333,0.000715761,0.000715761,0.000715761
74,21760.2,1.18573,0.80979,0.89423,0.56301,0.42856,0.45149,0.27912,1.14324,0.80529,0.88109,0.0007087,0.0007087,0.0007087
75,22053.7,1.18551,0.80636,0.89429,0.54641,0.43156,0.45007,0.27847,1.14983,0.80627,0.88161,0.000701588,0.000701588,0.000701588
76,22347.1,1.17833,0.80237,0.89289,0.55254,0.43296,0.4521,0.27971,1.1451,0.80648,0.88133,0.000694428,0.000694428,0.000694428
77,22640.6,1.17954,0.80165,0.89333,0.56339,0.42679,0.4524,0.27958,1.14257,0.80531,0.88087,0.000687222,0.000687222,0.000687222
78,22935.1,1.18932,0.80414,0.89563,0.5536,0.43068,0.45361,0.28097,1.14024,0.80256,0.88023,0.00067997,0.00067997,0.00067997
79,23228.4,1.17277,0.79519,0.89215,0.56024,0.43217,0.45678,0.28302,1.14198,0.8025,0.88094,0.000672675,0.000672675,0.000672675
80,23522.3,1.17803,0.7936,0.89263,0.55266,0.43616,0.45501,0.28239,1.14131,0.80332,0.88109,0.000665339,0.000665339,0.000665339
81,23816.1,1.17916,0.7996,0.89381,0.56152,0.43836,0.4562,0.2827,1.14038,0.79792,0.88026,0.000657963,0.000657963,0.000657963
82,24109.6,1.17795,0.79547,0.89309,0.55007,0.438,0.45565,0.28176,1.13969,0.79982,0.88032,0.00065055,0.00065055,0.00065055
83,24403,1.17484,0.7956,0.89286,0.5603,0.43529,0.45683,0.28096,1.14237,0.79937,0.88039,0.000643101,0.000643101,0.000643101
84,24697.6,1.1711,0.78854,0.89123,0.55153,0.43921,0.45546,0.28068,1.13994,0.79868,0.87995,0.000635617,0.000635617,0.000635617
85,24991.4,1.17233,0.78916,0.89074,0.55933,0.43656,0.45603,0.28211,1.14076,0.79838,0.8806,0.000628101,0.000628101,0.000628101
86,25285.5,1.16577,0.78516,0.88867,0.56418,0.43664,0.45694,0.28235,1.13707,0.79509,0.87957,0.000620555,0.000620555,0.000620555
87,25579.4,1.16696,0.77971,0.89,0.56668,0.43663,0.45758,0.28305,1.13509,0.79573,0.87915,0.000612981,0.000612981,0.000612981
88,25872.9,1.16597,0.77659,0.88901,0.56522,0.43811,0.45965,0.28433,1.13393,0.79466,0.87809,0.00060538,0.00060538,0.00060538
89,26167.3,1.16543,0.78101,0.88919,0.56801,0.43878,0.4608,0.28491,1.13354,0.79599,0.879,0.000597754,0.000597754,0.000597754
90,26461.2,1.16719,0.77817,0.88881,0.57398,0.43694,0.46072,0.28444,1.13385,0.7955,0.87912,0.000590105,0.000590105,0.000590105
91,26755,1.16668,0.78014,0.89064,0.57189,0.43658,0.46102,0.28449,1.13383,0.79437,0.87897,0.000582435,0.000582435,0.000582435
92,27049.3,1.15894,0.7744,0.8867,0.58002,0.43719,0.46314,0.28664,1.13131,0.79077,0.87857,0.000574746,0.000574746,0.000574746
93,27341.7,1.16217,0.77176,0.88894,0.57131,0.44019,0.46155,0.28657,1.13114,0.79073,0.87832,0.00056704,0.00056704,0.00056704
